,cuisine,bench,rfc,mnb,lr,mlp,lr_ova,svm,sdg_ova,xgb,lgbm
0,greek,1.0,1.0,1.0,0.9,1.0,0.0,1.0,0.3,1.0,1.0
1,southern_us,0.8,0.7,0.0,0.0,0.4,0.1,0.8,0.3,0.6,0.0
2,filipino,0.8,0.9,0.8,1.0,0.9,0.9,0.7,1.0,1.0,1.0
3,indian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,jamaican,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,spanish,1.0,0.7,0.0,0.0,0.0,0.2,0.7,0.0,0.7,0.0
6,italian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,mexican,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,chinese,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,british,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6
10,thai,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,vietnamese,0.8,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.5
12,cajun_creole,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,brazilian,0.7,0.8,0.0,0.5,0.4,0.3,1.0,0.0,0.8,0.0
14,french,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,japanese,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7
16,irish,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,korean,1.0,0.8,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0
18,moroccan,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
